Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
Purple Rain,Prince and the Revolution,1984,,,8,8
Legend,Bob Marley and the Wailers,1984,46,46,48,46
Catch A Fire,Bob Marley and the Wailers,1973,123,126,140,129
Exodus,Bob Marley and the Wailers,1977,169,169,71,136
The Harder They Come: Original Soundtrack,Jimmy Cliff & Various Artists,1972,,,174,174
Natty Dread,Bob Marley and the Wailers,1974,182,181,,181
Rust Never Sleeps,Neil Young,1979,,,296,296
Burnin',Bob Marley and the Wailers,1973,319,319,,319
One Nation Under a Groove,Funkadelic,1978,,,360,360
Everybody Knows This Is Nowhere,Neil Young,1969,,,407,407
Going to a Go Go,Smokey Robinson,1965,,,412,412
Anthology,Diana Ross & The Supremes,1974,,,452,452
Back to Mono (1958-1969),Phil Spector & Various Artists,1991,,,489,489
